rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/n_updates,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/actor_loss
329.61320049999995,956,410,392480,4370,120.16,19123,14.524399757385254,0.09164194762706757,0.03593813663804626,-2.339533805847168,-107.46376037597656
329.8926098,956,412,394620,4380,120.23,19230,60.01518249511719,0.09284979850053787,0.03593813663804626,0.6362543106079102,-109.20024108886719
337.04359990000006,956,413,395160,4390,122.06,19257,24.823379516601562,0.08638232201337814,0.03593813663804626,-3.2806973457336426,-109.3175048828125
348.96210184999995,956,415,397260,4400,125.02,19362,18.235103607177734,0.07136500626802444,0.03593813663804626,-0.5620074272155762,-111.32323455810547
351.39077548999995,956,415,397840,4410,125.88,19391,30.041841506958008,0.061683300882577896,0.03593813663804626,4.375978469848633,-111.57789611816406
355.37693116,955,418,400260,4420,126.69,19512,19.65690040588379,0.16147200763225555,0.03593813663804626,-2.8540847301483154,-108.60772705078125
357.51748541000006,955,419,400580,4430,126.7,19528,14.176497459411621,0.08220895379781723,0.03593813663804626,-3.1962649822235107,-110.68939208984375
375.44842237000006,955,421,402700,4440,131.34,19634,37.237003326416016,0.06536170840263367,0.03593813663804626,-1.6659152507781982,-112.0420913696289
370.51973208000004,955,421,402940,4450,129.8,19646,91.11572265625,0.047530412673950195,0.03593813663804626,4.434325695037842,-111.74411010742188
374.3165220399999,955,423,404860,4460,130.6,19742,61.93061065673828,0.06707967072725296,0.03593813663804626,1.7294400930404663,-109.60248565673828
371.28231344000005,955,424,405520,4470,129.77,19775,76.36035919189453,0.06710987538099289,0.03593813663804626,-0.787696897983551,-112.21096801757812
370.53667004999994,955,426,407360,4480,129.56,19867,39.67913055419922,0.06044205650687218,0.03593813663804626,1.9806079864501953,-107.8486328125
359.5548185,955,426,407880,4490,126.45,19893,17.937362670898438,0.07154780626296997,0.03593813663804626,2.788332462310791,-117.08699798583984
347.86306362999994,955,427,408340,4500,123.14,19916,34.59465026855469,0.09471845626831055,0.03593813663804626,-2.154207706451416,-110.65766906738281
341.68639970000004,955,429,410220,4510,121.24,20010,38.36585998535156,0.053469281643629074,0.03593813663804626,5.010964393615723,-114.49937438964844
335.6912910799999,955,430,410920,4520,119.54,20045,31.344425201416016,0.1007831022143364,0.03593813663804626,0.1955246478319168,-111.2042465209961
319.32990215,955,431,412540,4530,114.32,20126,58.991363525390625,0.08361073583364487,0.03593813663804626,-2.068753719329834,-106.09166717529297
320.56519067,955,432,413520,4540,114.6,20175,38.15668487548828,0.09884095191955566,0.03593813663804626,-0.07818271964788437,-110.46876525878906
